SUPPLIERID,SUPPLIERNAME,SUPPLIERCATEGORYID,PRIMARYCONTACTPERSONID,SUPPLIERREFERENCE,PAYMENTDAYS,DELIVERYPOSTALCODE,VALIDFROM,VALIDTO
1,A Datum Corporation,2,21,AA20384,14,46077,2013-01-01 00:05:00.0000000,9999-12-31 23:59:59.9999999
2,"Contoso, Ltd.",2,23,B2084020,7,98253,2013-01-01 00:05:00.0000000,9999-12-31 23:59:59.9999999
3,Consolidated Messenger,6,25,209340283,30,94101,2013-01-01 00:05:00.0000000,9999-12-31 23:59:59.9999999
4,"Fabrikam, Inc.",4,27,293092,30,40351,2013-01-01 00:05:00.0000000,9999-12-31 23:59:59.9999999
5,Graphic Design Institute,2,29,08803922,14,64847,2013-01-01 00:05:00.0000000,9999-12-31 23:59:59.9999999
6,Humongous Insurance,9,31,082420938,14,37770,2013-01-01 00:05:00.0000000,9999-12-31 23:59:59.9999999
7,"Litware, Inc.",5,33,BC0280982,30,95245,2013-01-01 00:05:00.0000000,9999-12-31 23:59:59.9999999
8,Lucerne Publishing,2,35,JQ082304802,30,37659,2013-01-01 00:05:00.0000000,9999-12-31 23:59:59.9999999
9,Nod Publishers,2,37,GL08029802,7,27906,2013-01-01 00:05:00.0000000,9999-12-31 23:59:59.9999999
10,Northwind Electric Cars,3,39,ML0300202,30,07860,2013-01-01 00:05:00.0000000,9999-12-31 23:59:59.9999999
11,Trey Research,8,41,082304822,7,57543,2013-01-01 00:05:00.0000000,9999-12-31 23:59:59.9999999
12,The Phone Company,2,43,237408032,30,56732,2013-01-01 00:05:00.0000000,9999-12-31 23:59:59.9999999
13,Woodgrove Bank,7,45,028034202,7,94101,2013-01-01 00:05:00.0000000,9999-12-31 23:59:59.9999999
